University Name,Fallback URL,Country Hint
University of Suffolk,https://uos.ac.uk/,UK
University of Sunderland,https://sunderland.ac.uk,UK
University of Surrey,http://surrey.ac.uk,UK
University of Sussex,http://sussex.ac.uk/admissions,UK
University of Wales,https://wales.ac.uk,UK
University of Wales Trinity Saint David,https://uwtsd.ac.uk/apply/admissions-policy-and-terms-and-conditions-applicants,UK
University of Warwick,https://warwick.ac.uk/admissions,UK
University of West London,https://uwl.ac.uk,UK
University of Westminster,https://westminster.ac.uk,UK
University of Winchester,https://winchester.ac.uk,UK
University of Wolverhampton,https://wlv.ac.uk/admissions,UK
University of Worcester,https://worcester.ac.uk/study/find-a-course/how-to-apply/admissions-information.aspx,UK
University of York,https://york.ac.uk/admissions,UK
University of the Arts London,https://www.arts.ac.uk/,UK
University of the Built Environment,http://ucem.ac.uk,UK
University of the Highlands and Islands,https://www.uhi.ac.uk/en/,UK
University of the West of England,http://uwe.ac.uk/,UK
University of the West of Scotland,http://uws.ac.uk,UK
Wrexham University,http://wrexham.ac.uk/admissions,UK
York St John University,https://www.yorksj.ac.uk/policies-and-documents/admissions/,UK
